ts_iso,target_hz,target_dt_s,reads,errors,error_rate,dt_jitter_std_s,jitter_ratio_to_target_dt,mean_achieved_hz,achieved_ratio,min_reads_for_stable,stable
2026-04-21T16:30:06.181,5.000,0.200000,3,0,0.000000,0.000036,0.000178,4.999,0.999855,5,0
2026-04-21T16:30:09.336,10.000,0.100000,2,0,0.000000,0.000000,0.000000,1.222,0.122161,9,0
2026-04-21T16:30:10.657,15.000,0.066667,2,0,0.000000,0.000000,0.000000,14.988,0.999171,14,0
